gate_thresh_deg,repeat,dataset_run,runtime_sec,valid_pose_pct,ate_rmse,scale_factor,meter_rpe,norm_rpe
5.0,1,phase2a_F9_L2_R1,21.74,92.97,2.8394,0.096192,0.0859,0.8931
5.0,2,phase2a_F9_L2_R2,20.66,92.98,3.0233,0.090967,0.0815,0.8961
5.0,3,phase2a_F9_L2_R3,20.86,93.04,3.1598,0.108035,0.0948,0.8778
10.0,1,phase2a_F9_L2_R1,21.67,92.25,3.0372,0.104157,0.092,0.8831
10.0,2,phase2a_F9_L2_R2,20.43,92.84,3.1769,0.099463,0.0892,0.8963
10.0,3,phase2a_F9_L2_R3,21.32,92.05,2.8499,0.087512,0.0785,0.8976
15.0,1,phase2a_F9_L2_R1,21.36,92.25,2.7015,0.109858,0.098,0.8925
15.0,2,phase2a_F9_L2_R2,21.14,92.28,3.0115,0.07958,0.0723,0.9088
15.0,3,phase2a_F9_L2_R3,20.84,91.9,3.3574,0.099545,0.0889,0.8927
20.0,1,phase2a_F9_L2_R1,21.61,92.25,2.7678,0.098926,0.0896,0.9059
20.0,2,phase2a_F9_L2_R2,20.85,91.85,2.9309,0.078813,0.0715,0.9073
20.0,3,phase2a_F9_L2_R3,21.08,92.05,3.1748,0.110603,0.098,0.8863
30.0,1,phase2a_F9_L2_R1,22.06,92.4,3.2106,0.070005,0.0666,0.9512
30.0,2,phase2a_F9_L2_R2,21.24,92.42,2.9424,0.085917,0.0777,0.904
30.0,3,phase2a_F9_L2_R3,21.96,91.62,2.9504,0.091057,0.0803,0.8822
45.0,1,phase2a_F9_L2_R1,22.54,90.39,2.8584,0.094162,0.0833,0.8848
45.0,2,phase2a_F9_L2_R2,22.33,90.45,2.5405,0.100787,0.0868,0.8612
45.0,3,phase2a_F9_L2_R3,22.96,90.2,3.4707,0.082727,0.0728,0.8806
